"player_id","FirstName","Surname","PositionsList","Team","Cost","TotalPoints"
"Sigurdsson_Gylfi_MID","Gylfi","Sigurdsson","MID","EVE",7400000,182
"Sissoko_Moussa_MID","Moussa","Sissoko","MID","TOT",4900000,76
"Smalling_Chris_DEF","Chris","Smalling","DEF","MUN",5600000,56
"Snodgrass_Robert_MID","Robert","Snodgrass","MID","WHU",5e+06,85
"Sokratis_NAMELESS_DEF","NAMELESS","Sokratis","DEF","ARS",5100000,64
"Son_Heung-Min_MID","Heung-Min","Son","MID","TOT",8600000,159
"Stephens_Dale_MID","Dale","Stephens","MID","BHA",4300000,65
"Stephens_Jack_DEF","Jack","Stephens","DEF","SOU",4200000,47
"Sterling_Raheem_MID","Raheem","Sterling","MID","MCI",11700000,234
"Steve Cook_NAMELESS_DEF","NAMELESS","Steve Cook","DEF","BOU",4300000,85
"Stones_John_DEF","John","Stones","DEF","MCI",5200000,83
"Tarkowski_James_DEF","James","Tarkowski","DEF","BUR",4700000,97
"Taylor_Charlie_DEF","Charlie","Taylor","DEF","BUR",4400000,82
"Tomkins_James_DEF","James","Tomkins","DEF","CRY",4300000,86
"Torreira_Lucas_MID","Lucas","Torreira","MID","ARS",4700000,78
"Townsend_Andros_MID","Andros","Townsend","MID","CRY",5600000,135
"Trippier_Kieran_DEF","Kieran","Trippier","DEF","TOT",6e+06,118
"Valery_Yan_DEF","Yan","Valery","DEF","SOU",4100000,54
"van Aanholt_Patrick_DEF","Patrick","van Aanholt","DEF","CRY",5500000,140
"van Dijk_Virgil_DEF","Virgil","van Dijk","DEF","LIV",6700000,208
"Vardy_Jamie_FWD","Jamie","Vardy","FWD","LEI",9e+06,174
"Vertonghen_Jan_DEF","Jan","Vertonghen","DEF","TOT",5900000,67
"Vestergaard_Jannik_DEF","Jannik","Vestergaard","DEF","SOU",4600000,50
"Walcott_Theo_MID","Theo","Walcott","MID","EVE",5900000,101
"Walker_Kyle_DEF","Kyle","Walker","DEF","MCI",6400000,150
"Wan-Bissaka_Aaron_DEF","Aaron","Wan-Bissaka","DEF","CRY",4600000,120
"Ward-Prowse_James_MID","James","Ward-Prowse","MID","SOU",5100000,94
"Westwood_Ashley_MID","Ashley","Westwood","MID","BUR",4600000,111
"Wijnaldum_Georginio_MID","Georginio","Wijnaldum","MID","LIV",5500000,108
"Willian_NAMELESS_MID","NAMELESS","Willian","MID","CHE",7100000,108
"Wilson_Callum_FWD","Callum","Wilson","FWD","BOU",6900000,168
"Wood_Chris_FWD","Chris","Wood","FWD","BUR",6300000,131
"Xhaka_Granit_MID","Granit","Xhaka","MID","ARS",5200000,90
"Yedlin_DeAndre_DEF","DeAndre","Yedlin","DEF","NEW",4500000,63
"Young_Ashley_DEF","Ashley","Young","DEF","MUN",5700000,73
"Zabaleta_Pablo_DEF","Pablo","Zabaleta","DEF","WHU",4300000,56
"Zaha_Wilfried_FWD","Wilfried","Zaha","FWD","CRY",7e+06,143
"Zanka_NAMELESS_DEF","NAMELESS","Zanka","DEF","HUD",4400000,67
"Zouma_Kurt_DEF","Kurt","Zouma","DEF","EVE",5e+06,112
"Adams_Che_FWD","Che","Adams","FWD","SOU",5700000,137
"Adarabioyo_Tosin_DEF","Tosin","Adarabioyo","DEF","FUL",4500000,100
"Aina_Ola_DEF","Ola","Aina","DEF","FUL",4300000,102
"Ajayi_Oluwasemilogo Adesewo Ibidapo_DEF","Oluwasemilogo Adesewo Ibidapo","Ajayi","DEF","WBA",4800000,51
"Albrighton_Marc_MID","Marc","Albrighton","MID","LEI",5200000,78
"Alderweireld_Toby_DEF","Toby","Alderweireld","DEF","TOT",5400000,88
"Alexander-Arnold_Trent_DEF","Trent","Alexander-Arnold","DEF","LIV",7800000,160
"Alioski_Ezgjan_DEF","Ezgjan","Alioski","DEF","LEE",4400000,110
"Allan_NAMELESS_MID","NAMELESS","Allan","MID","EVE",5200000,47
"Almiron_Miguel_MID","Miguel","Almiron","MID","NEW",5600000,97
"Ampadu_Ethan_DEF","Ethan","Ampadu","DEF","SHU",4300000,44
"Andersen_Joachim_DEF","Joachim","Andersen","DEF","FUL",4500000,93
"Anguissa_NAMELESS_MID","NAMELESS","Anguissa","MID","FUL",4400000,76
"Antonio_Michail_FWD","Michail","Antonio","FWD","WHU",6700000,118
"Armstrong_Stuart_MID","Stuart","Armstrong","MID","SOU",5500000,115
"Aubameyang_Pierre-Emerick_MID","Pierre-Emerick","Aubameyang","MID","ARS",11300000,131
"Ayew_Jordan_FWD","Jordan","Ayew","FWD","CRY",5600000,70
"Ayling_Luke_DEF","Luke","Ayling","DEF","LEE",4400000,100
"Azpilicueta_Cesar_DEF","Cesar","Azpilicueta","DEF","CHE",5800000,113
"Baldock_George_DEF","George","Baldock","DEF","SHU",4900000,63
"Bamford_Patrick_FWD","Patrick","Bamford","FWD","LEE",6600000,194
"Barnes_Harvey_MID","Harvey","Barnes","MID","LEI",6600000,126
"Bartley_Kyle_DEF","Kyle","Bartley","DEF","WBA",4400000,79
"Basham_Chris_DEF","Chris","Basham","DEF","SHU",4600000,51
"Bednarek_Jan_DEF","Jan","Bednarek","DEF","SOU",4700000,94
"Bellerin_Hector_DEF","Hector","Bellerin","DEF","ARS",5e+06,94
